MovieId,GenreId,GenreName
127585,28,Action
127585,12,Adventure
127585,14,Fantasy
127585,878,Science Fiction
100402,28,Action
100402,12,Adventure
100402,878,Science Fiction
188161,35,Comedy
188161,37,Western
124905,28,Action
124905,878,Science Fiction
124905,53,Thriller
102382,28,Action
102382,12,Adventure
102382,14,Fantasy
138103,28,Action
138103,12,Adventure
138103,53,Thriller
102651,28,Action
102651,12,Adventure
102651,14,Fantasy
102651,10749,Romance
102651,10751,Family
157350,28,Action
157350,12,Adventure
157350,878,Science Fiction
157350,10749,Romance
137113,28,Action
137113,878,Science Fiction
195589,35,Comedy
82702,28,Action
82702,12,Adventure
82702,16,Animation
82702,35,Comedy
82702,14,Fantasy
82702,10751,Family
109445,12,Adventure
109445,16,Animation
109445,22,Musical
109445,10751,Family
232672,35,Comedy
118340,12,Adventure
118340,14,Fantasy
118340,878,Science Fiction
136797,28,Action
136797,80,Crime
136797,18,Drama
136797,53,Thriller
212778,35,Comedy
222935,18,Drama
222935,10749,Romance
137106,28,Action
137106,12,Adventure
137106,16,Animation
137106,35,Comedy
137106,14,Fantasy
137106,10751,Family
53182,28,Action
53182,10752,War
86834,12,Adventure
86834,18,Drama
157845,80,Crime
157845,18,Drama
144336,28,Action
144336,80,Crime
144336,18,Drama
144336,53,Thriller
26973,18,Drama
26973,36,History
144503,99,Documentary
241254,28,Action
241254,53,Thriller
200505,18,Drama
200505,9805,Sport
189,28,Action
189,80,Crime
189,18,Drama
189,53,Thriller
276690,28,Action
276690,12,Adventure
276690,18,Drama
276690,53,Thriller
126172,27,Horror
20352,16,Animation
20352,10751,Family
192102,28,Action
192102,80,Crime
192102,18,Drama
192102,53,Thriller
193610,35,Comedy
193610,10749,Romance
184345,35,Comedy
184345,27,Horror
256092,28,Action
256092,35,Comedy
256092,80,Crime
252360,28,Action
252360,12,Adventure
252360,18,Drama
252360,14,Fantasy
157834,18,Drama
157834,14,Fantasy
157834,878,Science Fiction
225574,28,Action
225574,9648,Mystery
225574,53,Thriller
157353,18,Drama
157353,9648,Mystery
157353,878,Science Fiction
157353,53,Thriller
172385,16,Animation
172385,10751,Family
87421,28,Action
87421,878,Science Fiction
87421,53,Thriller
110415,28,Action
110415,18,Drama
110415,878,Science Fiction
97020,28,Action
97020,80,Crime
97020,878,Science Fiction
97020,53,Thriller
101299,28,Action
101299,12,Adventure
101299,878,Science Fiction
101299,53,Thriller
76338,28,Action
76338,12,Adventure
76338,14,Fantasy
91314,28,Action
91314,12,Adventure
91314,878,Science Fiction
213927,28,Action
241765,28,Action
241765,80,Crime
241765,18,Drama
241765,9648,Mystery
241765,53,Thriller
175112,16,Animation
175112,14,Fantasy
175112,10751,Family
145220,12,Adventure
145220,35,Comedy
145220,80,Crime
145220,22,Musical
145220,10751,Family
57158,14,Fantasy
10195,28,Action
10195,12,Adventure
10195,14,Fantasy
131631,12,Adventure
131631,878,Science Fiction
131631,53,Thriller
1930,28,Action
1930,12,Adventure
1930,14,Fantasy
68726,28,Action
68726,12,Adventure
68726,878,Science Fiction
205601,18,Drama
80518,28,Action
80518,12,Adventure
80518,16,Animation
80518,14,Fantasy
80518,878,Science Fiction
227929,35,Comedy
227929,80,Crime
227929,18,Drama
254473,28,Action
254473,80,Crime
254473,18,Drama
205724,35,Comedy
138843,27,Horror
138843,53,Thriller
1267,16,Animation
1267,35,Comedy
1267,10751,Family
209249,35,Comedy
152760,28,Action
152760,18,Drama
152760,36,History
152760,10752,War
15071,28,Action
15071,12,Adventure
15071,18,Drama
15071,53,Thriller
76649,28,Action
76649,12,Adventure
76649,18,Drama
76649,36,History
76649,10749,Romance
240832,28,Action
240832,878,Science Fiction
70706,18,Drama
285733,12,Adventure
285733,16,Animation
285733,14,Fantasy
285733,22,Musical
268508,27,Horror
9056,28,Action
9056,35,Comedy
9056,80,Crime
9056,53,Thriller
116741,35,Comedy
137094,28,Action
137094,18,Drama
137094,53,Thriller
82703,12,Adventure
82703,16,Animation
82703,10751,Family
254436,18,Drama
254436,9805,Sport
209244,35,Comedy
82992,28,Action
82992,80,Crime
82992,53,Thriller
212231,18,Drama
188207,28,Action
188207,12,Adventure
106646,35,Comedy
106646,80,Crime
106646,18,Drama
214030,35,Comedy
24428,28,Action
143049,35,Comedy
209276,18,Drama
272692,27,Horror
286548,28,Action
234564,16,Animation
234564,18,Drama
234564,14,Fantasy
234564,878,Science Fiction
234564,10755,Short
120467,35,Comedy
120467,18,Drama
23048,12,Adventure
23048,35,Comedy
23048,878,Science Fiction
288711,35,Comedy
288711,9648,Mystery
42052,18,Drama
253310,35,Comedy
204668,12,Adventure
615,18,Drama
207323,16,Animation
207323,35,Comedy
207323,80,Crime
48888,35,Comedy
48888,10755,Short
230222,28,Action
230222,12,Adventure
230222,16,Animation
230222,10751,Family
49521,28,Action
49521,12,Adventure
49521,14,Fantasy
49521,878,Science Fiction
68718,18,Drama
68718,37,Western
172391,12,Adventure
172391,16,Animation
172391,10751,Family
283327,27,Horror
283327,53,Thriller
253849,80,Crime
253849,53,Thriller
227783,12,Adventure
227783,16,Animation
227783,35,Comedy
227783,10751,Family
64686,28,Action
64686,12,Adventure
64686,14,Fantasy
214093,18,Drama
214093,53,Thriller
259018,35,Comedy
155,28,Action
155,80,Crime
155,18,Drama
155,53,Thriller
260953,35,Comedy
260953,18,Drama
260953,14,Fantasy
59981,16,Animation
59981,10402,Music
59981,10751,Family
77951,12,Adventure
77951,16,Animation
77951,10751,Family
275619,28,Action
275619,878,Science Fiction
275619,53,Thriller
184098,35,Comedy
184098,10749,Romance
37724,28,Action
37724,12,Adventure
37724,53,Thriller
19995,28,Action
19995,12,Adventure
19995,14,Fantasy
19995,878,Science Fiction
243683,18,Drama
243683,10402,Music
243683,10749,Romance
68721,28,Action
68721,12,Adventure
68721,878,Science Fiction
242310,28,Action
242310,80,Crime
242310,53,Thriller
49026,28,Action
49026,80,Crime
49026,18,Drama
49026,53,Thriller
215935,18,Drama
215935,53,Thriller
152601,18,Drama
152601,878,Science Fiction
152601,10749,Romance
1726,28,Action
1726,12,Adventure
1726,878,Science Fiction
233423,12,Adventure
233423,16,Animation
233423,10751,Family
71552,35,Comedy
116745,12,Adventure
116745,35,Comedy
116745,18,Drama
116745,14,Fantasy
1771,28,Action
1771,12,Adventure
1771,878,Science Fiction
82690,12,Adventure
82690,16,Animation
82690,35,Comedy
152599,18,Drama
152599,10749,Romance
209403,35,Comedy
10138,28,Action
10138,12,Adventure
10138,878,Science Fiction
273467,35,Comedy
273467,27,Horror
180296,35,Comedy
11,28,Action
11,12,Adventure
11,878,Science Fiction
133805,18,Drama
133805,27,Horror
107846,28,Action
107846,53,Thriller
49047,18,Drama
49047,878,Science Fiction
49047,53,Thriller
210908,35,Comedy
210908,27,Horror
210908,53,Thriller
15789,16,Animation
15789,35,Comedy
15789,10751,Family
80274,28,Action
80274,12,Adventure
80274,878,Science Fiction
62241,99,Documentary
217337,35,Comedy
236751,18,Drama
175574,16,Animation
175574,35,Comedy
175574,10751,Family
244839,28,Action
244839,878,Science Fiction
76163,28,Action
76163,12,Adventure
76163,53,Thriller
120,28,Action
120,12,Adventure
120,14,Fantasy
187596,35,Comedy
243451,35,Comedy
157832,18,Drama
75612,28,Action
75612,12,Adventure
75612,9648,Mystery
75612,878,Science Fiction
68724,28,Action
68724,18,Drama
68724,878,Science Fiction
68724,53,Thriller
246013,18,Drama
93456,16,Animation
93456,35,Comedy
93456,10751,Family
98566,28,Action
98566,12,Adventure
98566,35,Comedy
98566,14,Fantasy
98566,878,Science Fiction
278334,53,Thriller
212762,18,Drama
76203,18,Drama
76203,36,History
210479,18,Drama
210479,53,Thriller
204436,12,Adventure
204436,16,Animation
204436,18,Drama
204436,14,Fantasy
204436,22,Musical
204436,10749,Romance
49051,28,Action
49051,12,Adventure
49051,14,Fantasy
9453,18,Drama
9453,2916,Erotic
9453,36,History
9453,10749,Romance
136400,28,Action
136400,35,Comedy
136400,80,Crime
136400,18,Drama
136400,53,Thriller
259611,18,Drama
259611,37,Western
557,28,Action
557,14,Fantasy
109451,16,Animation
109451,35,Comedy
109451,10751,Family
22,28,Action
22,12,Adventure
22,14,Fantasy
52520,28,Action
52520,14,Fantasy
52520,27,Horror
256687,28,Action
256687,18,Drama
256687,53,Thriller
119450,28,Action
119450,18,Drama
119450,878,Science Fiction
119450,53,Thriller
24418,28,Action
24418,12,Adventure
24418,14,Fantasy
24418,53,Thriller
87101,28,Action
87101,12,Adventure
87101,878,Science Fiction
87101,53,Thriller
72190,28,Action
72190,18,Drama
72190,27,Horror
72190,878,Science Fiction
72190,53,Thriller
243935,80,Crime
243935,18,Drama
238636,27,Horror
238636,53,Thriller
157823,18,Drama
157823,53,Thriller
238301,28,Action
184315,28,Action
184315,12,Adventure
152790,35,Comedy
152790,18,Drama
534,28,Action
534,18,Drama
534,878,Science Fiction
534,53,Thriller
